treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,q_0,q_1
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,All,1541333,1541333,74773.45653661876,82230.41478439425,746,183,0.0099768023915634,0.002225453933071123,0.22306284576238727,0.22,(0.19-0.26),"746 / 74,773","183 / 82,230"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0-6,2548912,2548912,39661.760438056124,41042.899383983575,192,54,0.004840934892435404,0.0013156965226748273,0.2717856265182942,0.27,(0.20-0.37),"192 / 39,662","54 / 41,043"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,7-13,1505729,1648382,23408.443531827514,26627.38945927447,296,86,0.012645009891304425,0.003229757093970236,0.2554175221477081,0.26,(0.20-0.33),"296 / 23,408","86 / 26,627"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,14-27,887987,1075577,22052.073921971252,28854.691307323752,389,50,0.017640064212392545,0.0017328204785649276,0.09823209585300613,0.1,(0.07-0.13),"389 / 22,052","50 / 28,855"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,28-41,319570,461767,8168.8459958932235,12080.980150581794,165,21,0.020198691477713193,0.0017382695558016198,0.08605852303450397,0.09,(0.05-0.14),"165 /  8,169","21 / 12,081"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,42-55,118717,173858,2911.772758384668,4173.081451060917,60,NA,NA,NA,NA,NA,NA,"60 /  2,912","-- /  4,173"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,56-69,36786,50233,753.8754277891854,1021.9219712525668,17,NA,NA,NA,NA,NA,NA,17 /    754,"-- /  1,022"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,All,2548912,2548912,96956.77207392197,113800.96372347706,1119,227,0.011541225806763141,0.0019947106999162437,0.17283352161321947,0.17,(0.15-0.20),"1,119 / 96,957","227 /113,801"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0-6,1541333,1541333,24860.15331964408,25141.111567419575,6,0,2.4135008030135114e-4,0,0,0,(NA-0.84),"6 / 24,860","0 / 25,141"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,7-13,1012334,1045316,16444.807665982204,17300.895277207394,12,NA,NA,NA,NA,NA,NA,"12 / 16,445","-- / 17,301"
